-76.723	0.495146	0.233268
-77.0566	0.464061	0.130723
-78.2461	0.419983	0.136194
-77.9981	0.460695	0.260389
-77.6205	0.426905	0.234226
-78.2973	0.312323	0.181008
-78.5428	0.342692	0.192209
-78.0003	0.452008	0.148036
-80.8584	0.469643	0.14129
-36.4178	0.942224	0.0687611
-36.4178	0.942224	0.0687611
-30.3249	0.93989	0.0629038
-27.0436	0.943045	0.203186
-27.0611	0.940528	0.371229
-27.0105	0.94178	0.521151
-29.668	0.947165	0.403688
-36.4175	0.520369	0.142646
-34.6097	0.432041	0.126334
-34.7188	0.609868	0.241337
-31.0781	0.902446	0.613781
-26.6608	0.959972	0.57675
-24.4642	0.953097	0.692402
-22.6472	0.938654	0.663478
-22.1515	0.922849	0.717313
-23.717	0.901822	0.211701
-27.2823	0.89923	0.305531
-34.6215	0.932469	0.319526
-41.1075	0.961916	0.271297
-73.1247	0.851283	0.164526
-73.1247	0.851283	0.164526
-41.9734	0.5691	0.157633
-35.2598	0.468176	0.141735
-33.4421	0.464158	0.180785
-34.4994	0.502369	0.178658
-37.0924	0.513047	0.168184
-39.3395	0.587204	0.172351
-37.3334	0.826764	0.456331
-34.28	0.932436	0.614153
-31.8477	0.957908	0.703897
-29.7039	0.949543	0.596247
-25.4302	0.965029	0.612384
-23.8011	0.969364	0.696665
-24.6791	0.961243	0.621632
-25.6543	0.953516	0.638265
-26.4292	0.956912	0.634453
-29.2158	0.954305	0.544475
-36.7189	0.935156	0.210665
-49.0509	0.87314	0.165125
-52.9738	0.669019	0.107149
-46.3423	-0.174813	0.142372
-44.1532	-0.232489	0.154
-41.9874	0.50592	0.0345538
-31.0531	0.882829	0.470516
-27.6769	0.901235	0.622628
-28.9995	0.910425	0.585917
-34.3296	0.824123	0.238987
-33.9478	0.222164	0.230888
-31.246	0.14264	0.309528
-30.4665	0.135526	0.301919
-30.2532	0.152139	0.150236
-30.0331	0.216594	0.245274
-31.8582	0.291053	0.313352
-37.3051	0.526625	0.174313
-32.9778	0.929414	0.419502
-31.0649	0.944038	0.57456
-33.7136	0.939243	0.521245
-37.1023	0.97645	0.631266
-36.3874	0.986088	0.670647
-34.776	0.951289	0.623588
-32.4981	0.902805	0.625498
-30.3756	0.889907	0.579149
-29.3922	0.909519	0.578706
-28.3552	0.919588	0.595863
-27.7987	0.938992	0.716695
-29.4273	0.945618	0.696539
-33.8694	0.942029	0.546232
-39.3606	0.70957	0.226466
-34.1208	0.307065	0.242016
-29.989	0.246712	0.170856
-28.5077	0.23242	0.211096
-27.4696	0.225022	0.222856
-25.7242	0.225265	0.327916
-26.0745	0.216369	0.303675
-28.1586	0.199196	0.191281
-30.5737	0.230755	0.29632
-37.0838	0.275934	0.18093
-29.7405	0.967356	0.356938
-24.5015	0.956342	0.532133
-22.6086	0.952935	0.595468
-22.8919	0.956923	0.605817
-23.6766	0.952207	0.488899
-24.1735	0.954632	0.477674
-26.1595	0.94512	0.510866
-27.9593	0.94511	0.519387
-29.4994	0.957604	0.575318
-33.0878	0.960223	0.563812
-35.8346	0.954017	0.504694
-42.2702	0.861461	0.185822
-43.1378	0.751393	0.284223
-43.0163	0.661449	0.21701
-43.6283	0.614738	0.124276
-45.0935	0.633934	0.132285
-46.6889	0.625715	0.160352
-48.3534	0.584931	0.144505
-49.5543	0.485759	0.160506
-50.0466	0.444684	0.153558
-49.7423	0.451068	0.15024
-49.2127	0.508579	0.146922
-48.322	0.634735	0.220407
-48.7218	0.65297	0.196028
-51.3285	0.577614	0.137375
-52.3297	0.623381	0.115712
-53.8613	0.678152	0.148452
-55.7003	0.807165	0.175572
-58.4698	0.893316	0.291207
-64.1108	0.861602	0.195062
-64.9901	0.917245	0.218876
-66.162	0.921816	0.338466
-71.6132	0.887974	0.238613
-60.8003	-0.268217	0.0227002
-60.7555	-0.265466	0.0252691
-75.6606	0.453538	0.103783
-75.4329	0.608785	0.150606
-76.2789	0.535451	0.131894
-76.157	0.539018	0.220292
-77.1805	0.438326	0.151301
-78.0862	0.373127	0.199893
-77.8848	0.391702	0.107964
-76.9991	0.443027	0.136363
-76.6798	0.455702	0.243318
-75.1441	0.619038	0.388257
-75.6034	0.654371	0.335857
